barcode,label,shape_descriptor_area,shape_descriptor_centroid_x,shape_descriptor_centroid_y,shape_descriptor_convex_area,shape_descriptor_eccentricity,shape_descriptor_equivalent_diameter,shape_descriptor_euler_number,shape_descriptor_extent,shape_descriptor_filled_area,shape_descriptor_major_axis_length,shape_descriptor_minor_axis_length,shape_descriptor_orientation,shape_descriptor_perimeter,shape_descriptor_solidity,shape_descriptor_weighted_centroid_x_c01,shape_descriptor_weighted_centroid_y_c01,well,z_stack,intensity_mad_c1,intensity_mass_displacement_c1,intensity_max_c1,intensity_mean_c1,intensity_median_c1,intensity_min_c1,intensity_std_c1,intensity_sum_c1,intenstiy_lower_quartile_c1,intenstiy_upper_quartile_c1,intensity_mad_c4,intensity_mass_displacement_c4,intensity_max_c4,intensity_mean_c4,intensity_median_c4,intensity_min_c4,intensity_std_c4,intensity_sum_c4,intenstiy_lower_quartile_c4,intenstiy_upper_quartile_c4,intensity_mad_c2,intensity_mass_displacement_c2,intensity_max_c2,intensity_mean_c2,intensity_median_c2,intensity_min_c2,intensity_std_c2,intensity_sum_c2,intenstiy_lower_quartile_c2,intenstiy_upper_quartile_c2,intensity_mad_c3,intensity_mass_displacement_c3,intensity_max_c3,intensity_mean_c3,intensity_median_c3,intensity_min_c3,intensity_std_c3,intensity_sum_c3,intenstiy_lower_quartile_c3,intenstiy_upper_quartile_c3
180823UM1f2,11,25632,212.61610486891385,2131.3826466916353,26370,0.4578405088826528,180.65346941216404,1,0.7585227272727273,25632,191.77616304524568,170.49559569762096,1.231649403926495,699.7817459305202,0.9720136518771331,212.4222388931923,2131.198151964182,C3,1,94.88654198435853,0.2676234687026359,806,258.82830056179773,267.0,113,93.18035452981316,6634287,162.0,316.0,2375.1287540459743,0.29346793791925024,20482,11981.613373907616,13440.0,328,4421.55897798763,307112714,11112.75,14767.0,34.099851025628844,2.0074659990498622,896,203.74282147315856,195.0,111,50.59233821732761,5222336,175.0,224.0,50.40847542919047,0.47156728669121645,897,269.91838327091136,277.0,103,68.37548863500228,6918548,240.0,309.0
180823UM1f2,12,26464,3057.3089480048366,2169.098548972189,27168,0.29411499067566765,183.5620094460489,1,0.782033096926714,26464,187.8424249407734,179.53416228414406,0.19255308660063838,701.539105243401,0.9740871613663133,3057.5729326795963,2169.6508453072024,C3,1,102.29955307688654,0.6121430798250851,678,258.39721886336156,261.0,107,94.09505794027022,6838224,174.0,318.0,1868.0787953170584,0.8694528579535218,17117,11041.843938935914,11793.0,408,2978.2337569893166,292211358,10274.75,12896.0,37.065055462640046,0.4391693343246387,1012,212.51511487303506,202.0,116,51.09996025838779,5624000,180.0,233.0,38.54765768114565,0.3238529905352385,676,263.5927675332527,264.0,107,48.259882492096025,6975719,238.0,289.0
180823UM1f2,13,29984,3833.850053361793,2416.0058697972254,30800,0.41103179995257333,195.38888020903113,1,0.7655228758169934,29984,204.8520037628955,186.74738984664526,0.21870796715193827,754.0243866176395,0.9735064935064935,3835.929149027885,2416.8665513676688,C3,1,85.99092867332492,2.250202558541205,684,254.54675827107792,254.0,110,86.98788473466746,7632330,188.0,305.0,1811.7399110138456,0.5111198710621199,16888,10561.658284418356,11189.0,597,2525.235051527082,316680762,9433.75,12176.0,38.54765768114565,0.9457079188150408,1227,213.8012940234792,204.0,116,52.306075784372396,6410618,181.0,235.0,41.51286211815685,1.43431734487648,720,265.84721851654217,265.0,111,51.513459500788116,7971163,236.0,293.0
180823UM1f2,14,41312,3341.493803253292,2441.0073586367157,42894,0.4690759611278655,229.34705594818314,1,0.7969135802469136,41312,246.84969895491605,218.00724306786884,-1.0277249819492582,891.1959594928933,0.9631183848556908,3336.326233430214,2442.8900732405896,C3,1,63.75189539574088,5.49985383042379,662,241.78415472501936,244.0,106,65.98249750095896,9988587,196.0,283.0,1365.4766432436593,3.7310374731957894,14137,9506.863090627421,9815.0,486,1875.40210038808,392747528,8786.0,10649.0,31.134646588617642,8.2181982785477,1446,200.9659178931061,180.0,115,77.14837023884003,8302304,163.0,208.0,40.030259899651256,36.50924284659991,7619,337.7994771494965,246.0,109,507.60227381178083,13955172,220.0,275.0
180823UM1f2,15,34944,2336.8296703296705,2547.9358974358975,35678,0.2178311955849502,210.9314643461841,1,0.7924528301886793,34944,213.62186550193871,208.49204830369916,0.7951588409843137,800.8528137423857,0.9794270979314984,2335.3228532405087,2547.6277257620422,C3,1,100.81695085838093,1.5380076465205224,662,271.2494848901099,275.0,114,93.02740279236689,9478542,193.0,334.0,1810.25730879534,0.9257480070919263,17373,11445.74587912088,12555.0,470,3413.4847093407857,399960144,10780.75,13581.0,28.169442151606436,2.301017925452926,650,197.78562843406593,188.0,108,44.07568245204798,6911421,172.0,212.0,45.96066877367366,0.8531629641008964,874,285.2124828296703,285.0,106,64.5790914908058,9966465,255.0,318.0
180823UM1f2,16,35040,598.0333333333333,2625.0689497716894,36006,0.26889076652366883,211.22100664356304,1,0.7512864493996569,35040,215.4522339254329,207.51727430702795,0.41057573793896945,821.3380951166242,0.9731711381436428,600.8176309300298,2619.7517382609103,C3,1,74.13011092528009,6.002087250059828,593,197.6976598173516,184.0,106,68.58319428185406,6927326,136.0,243.0,3208.3512008461225,7.589778525408467,14265,8100.764697488585,8593.0,986,2762.8101087069194,283850795,5802.0,10401.0,29.65204437011204,1.630538614989632,718,192.37231735159818,184.0,106,38.055296805431915,6740726,167.0,209.0,47.443270992179265,4.587421902153496,1133,216.39954337899545,214.0,107,48.38434888149756,7582640,181.0,246.0
180823UM1f2,17,34896,1637.4046309032553,2766.5930765703806,35836,0.3102171903866945,210.7865440512706,1,0.7620545073375262,34896,216.40697609399015,205.7306918754123,-1.1883561187795402,815.095454429505,0.9737693939055698,1637.7051003853555,2766.032461519489,C3,1,81.5431220178081,0.636059073482793,702,251.19414832645575,248.0,110,83.88235462061049,8765671,188.0,297.0,1525.5976828422645,1.1597250989019376,15991,10276.899673314992,10751.0,475,2387.5725388357423,358622691,9608.0,11694.0,29.65204437011204,2.136422465549239,1176,204.06977877120588,194.0,117,49.61644641827967,7121219,176.0,218.0,50.40847542919047,5.860195789679574,2197,313.4817457588262,288.0,111,145.79047313829417,10939259,259.0,328.0
180823UM1f2,18,23424,3196.27868852459,3215.3278688524592,24046,0.4649330369756953,172.69731641191316,1,0.7956521739130434,23424,183.64342605715115,162.58794483003624,-1.4025207128405879,656.4680374315354,0.9741329119188222,3197.071414664055,3214.2471516397995,C3,1,62.269293177235284,1.3402852032046602,443,213.34310963114754,215.0,106,58.016826536518224,4997349,168.0,253.0,2351.4071185498847,4.013176523646534,15706,9283.315403005465,8861.0,854,2337.3122625929245,217452380,7675.0,11260.0,26.686839933100835,0.7561603254616718,518,191.89651639344262,185.0,117,33.79650658574055,4494984,169.0,206.0,41.51286211815685,2.9483962213277786,892,230.99158982240436,228.0,108,41.86922078177164,5410747,201.0,256.0
180823UM1f2,19,38016,746.9612794612794,3436.787878787879,38898,0.39656587584700315,220.00789652340197,1,0.8005390835579514,38016,229.75951593585359,210.92067551478365,-1.2333185736720014,833.4386001800126,0.977325312355391,745.3484897220367,3438.1289916347873,C3,1,62.269293177235284,2.0975400857076187,514,227.4285827020202,231.0,104,61.58199895486196,8645925,184.0,269.0,1405.5069031433106,1.4567351926704206,15878,10296.910379840067,10749.0,602,2049.4823626979824,391447345,9516.0,11545.0,28.169442151606436,1.199398513788992,726,183.29666456228955,175.0,109,38.543981031068135,6968206,159.0,199.0,35.58245324413445,0.8258547561988566,546,250.24473905723906,249.0,107,42.98097104223282,9513304,226.0,273.0
180823UM1f2,20,24096,800.6925630810093,3656.15604249668,24662,0.3887207899977227,175.15701547451212,1,0.816260162601626,24096,182.88838665940736,168.5052397964976,-1.5154530667435921,658.8111831820431,0.9770497121076961,797.812942016348,3657.4941338270496,C3,1,75.6127131437857,3.1753276814293363,568,201.60408366533864,196.0,103,64.47959677028338,4857852,144.0,246.0,2407.7460028530977,1.2045510564246356,16674,10408.663512616202,11210.0,374,3342.4639852488967,250807156,9186.0,12622.0,53.37367986620167,6.0274822113534094,4888,244.71518094289507,222.0,105,161.3953176243954,5896657,189.0,263.0,40.030259899651256,2.6624384228702778,533,253.50315405046481,260.0,104,53.57694188614497,6108412,231.0,285.0
